query;clicks;conv_rate_fci;fci_conv;fci_ogp;gp_user_fci;gppi_fci;impressions;lci_conv;lci_ogp;search_ctr;search_counts;unique_users
yosemite;181;0.007;3;91.035701752;0.784790532;0.041511948;2193;3;91.035701752;0.4004;452;116
yonkers;16;0.0;0;0.0;0.0;0.0;499;0;0.0;0.2133;75;23
yoni steam;160;0.007;3;51.641500473;0.379716915;0.023074844;2238;3;51.641500473;0.3791;422;136
yoni;124;0.013;3;36.760697365;0.266381865;0.050985711;721;3;36.760697365;0.5277;235;138
yogurtland;57;0.125;16;20.799999237;0.31044775;0.032755904;635;16;20.799999237;0.4453;128;67
yogurt;68;0.081;14;23.109199286;0.218011314;0.039981314;578;14;23.109199286;0.3908;174;106
yogi bear;2;0.0;0;0.0;0.0;0.0;359;0;0.0;0.026;77;32
yoga retreat;5;0.0;0;0.0;0.0;0.0;383;0;0.0;0.0833;60;16
yoga pants;42;0.016;2;4.179299951;0.154788887;0.004711725;887;2;4.179299951;0.336;125;27
yoga classes;50;0.0;0;0.0;0.0;0.0;1262;1;44.019901276;0.2;250;73
yoga class;35;0.0;0;0.0;0.0;0.0;1170;0;0.0;0.2023;173;56
yoga;2461;0.008;88;1529.929398894;0.454929943;0.023237787;65838;79;1330.8118999;0.2282;10785;3363
yog;50;0.006;2;16.056400299;0.050811393;0.013986411;1148;2;16.056400299;0.137;365;316
yo;24;0.0;0;0.0;0.0;0.0;1114;0;0.0;0.0524;458;419
ymca;24;0.0;0;0.0;0.0;0.0;551;0;0.0;0.1013;237;155
yellowstone;22;0.0;0;0.0;0.0;0.0;668;0;0.0;0.1803;122;40
yellow 14k gold;8;0.0;0;0.0;0.0;0.0;587;0;0.0;0.1379;58;1
yatch;19;0.0;0;0.0;0.0;0.0;892;0;0.0;0.0671;283;123
yarn;18;0.0;0;0.0;0.0;0.0;468;0;0.0;0.1895;95;43
yard lights;7;0.0;0;0.0;0.0;0.0;370;0;0.0;0.2333;30;2
yard;6;0.008;1;97.080001831;1.294400024;0.179777781;540;1;97.080001831;0.05;120;75
yag laser;49;0.0;0;0.0;0.0;0.0;693;0;0.0;0.4224;116;40
yacht rentals;41;0.0;0;0.0;0.0;0.0;692;0;0.0;0.3445;119;17
yacht rental;74;0.0;0;0.0;0.0;0.0;983;0;0.0;0.5481;135;49
yacht chicago;2;0.0;0;0.0;0.0;0.0;989;0;0.0;0.0208;96;1
